InterZone,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing
S02001953,Hillhead,"5715","5696","3315","255880","666698"
S02001954,Glasgow Harbour and Partick South,"4602","4594","2925","255121","666722"
S02001955,Partick,"3845","3830","2372","255271","666804"
S02001956,Partickhill and Hyndland,"5517","5479","2935","255678","667378"
S02001957,Dowanhill,"4338","4281","2176","256376","667537"
S02001958,Kelvinside and Jordanhill,"5577","5491","2391","254437","668184"
S02001959,Broomhill,"4348","4317","2224","254765","667238"
S02001960,Victoria Park,"2694","2684","1119","254391","667456"
S02001961,Whiteinch,"3405","3405","1988","253420","667210"
S02001962,Scotstoun North and East,"4321","4304","1915","253179","667977"
S02001963,Scotstoun South and West,"3718","3718","1857","252494","667904"
S02001964,Yoker South,"4571","4558","2344","251470","668537"
S02001965,Yoker North,"3030","2850","1153","251346","669515"
S02001966,Knightswood West,"2666","2666","1251","252069","669351"
S02001967,Knightswood East,"3977","3878","2008","252310","668676"
S02001968,Knightswood Park West,"3459","3459","1926","252662","669052"
S02001969,Knightswood Park East,"3692","3692","1793","253334","669042"
S02001970,Anniesland East,"4217","4171","2207","255162","668855"
S02001971,Anniesland West,"5995","5890","3097","254637","669245"
S02001972,Blairdardie East,"5683","5676","2818","253767","670105"
S02001973,Blairdardie West,"2926","2926","1199","252362","670219"
S02001974,Drumchapel South,"2623","2503","1096","252942","670737"
S02001975,Drumchapel North,"3686","3686","1650","252980","671333"
S02001976,Drumry East,"3287","3204","1481","251922","671401"
S02001977,Drumry West,"3464","3464","1480","251267","671163"
S02001978,Lochaber West,"4667","4595","2058","168220","767365"
S02001979,Fort William North,"4576","4523","1927","210757","776176"
S02001980,Fort William South,"5861","5739","2497","210641","773678"
S02001981,Lochaber East and North,"4883","4758","2138","218549","762090"
S02001982,Badenoch and Strathspey South,"3842","3754","1692","275774","800618"
S02001983,Badenoch and Strathspey Central,"5050","4807","2220","289931","814144"
S02001984,Badenoch and Strathspey North,"4696","4558","2039","303033","827574"
S02001985,Nairn Rural,"4251","4242","1763","291935","855446"
S02001986,Nairn East,"4184","4067","1919","288405","856596"
S02001987,Nairn West,"4582","4492","2013","287323","856034"
S02001988,Inverness East Rural,"5080","4849","1985","279745","849499"
S02001989,Inverness Culloden and Balloch,"4192","4192","1802","272612","846495"
S02001990,Inverness Smithton,"3248","3248","1430","271648","845446"
S02001991,Inverness Westhill,"5884","5839","2406","271106","844756"
S02001992,Inverness Inshes,"4327","4321","1719","268648","843118"
S02001993,Inverness Slackbuie,"2519","2519","988","267126","841594"
S02001994,Inverness Lochardil and Holm Mains,"4942","4910","2186","266204","842317"
S02001995,Inverness Drummond,"3595","3544","1583","267107","843284"
S02001996,Inverness Hilton,"3770","3770","1800","267744","843387"
S02001997,Inverness Drakies,"2516","2516","1026","268166","843953"
S02001998,"Inverness Central, Raigmore and Longman","4378","4198","1974","267402","845286"
S02001999,Inverness Crown and Haugh,"4524","4175","2019","266931","845007"
S02002000,Inverness Ballifeary and Dalneigh,"4663","4598","2155","265559","844917"
S02002001,Inverness Muirtown,"4146","4025","2121","266156","845401"
S02002002,Inverness Merkinch,"3406","3399","1615","265790","846144"
S02002003,Inverness Scorguie,"3143","3026","1457","264725","845655"
S02002004,Inverness Kinmylies and South West,"3255","3182","1448","264346","844829"
S02002005,Inverness West Rural,"6307","6288","2665","252213","845881"
S02002006,Loch Ness,"4524","4489","1974","250717","829157"
